SymbolReannotated EnsemblReannotated
WIPI1 ENSG00000070540
PEX2 ENSG00000164751
ORM2 ENSG00000228278
TUBA3E ENSG00000152086
ALG8 ENSG00000159063
THOC5 ENSG00000100296
CST4 ENSG00000101441
DHCR7 ENSG00000172893
MRFAP1 ENSG00000179010
NOTCH2NL ENSG00000255168
PRKCH ENSG00000027075
ORM1 ENSG00000229314
TUBA3D ENSG00000075886
PLP1 ENSG00000123560
RFESD ENSG00000175449
AFMID ENSG00000183077
RHOBTB2 ENSG00000008853
CLDN8 ENSG00000156284
CST1 ENSG00000170373
DBI ENSG00000155368
AGR3 ENSG00000173467
YWHAQ ENSG00000134308
FBXW2 ENSG00000119402
LIMS1 ENSG00000169756
CKB ENSG00000166165
AMACR ENSG00000242110
TRIM49L1 ENSG00000233802
RBM20 ENSG00000203867
S100P ENSG00000163993
CST2 ENSG00000170369
CYB5A ENSG00000166347
ADARB2 ENSG00000185736
TNFRSF10B ENSG00000120889
AZGP1 ENSG00000160862
TRAF3IP2 ENSG00000056972
SNTB2 ENSG00000168807
RAB11FIP1 ENSG00000156675
WIBG ENSG00000170473
SNTG2 ENSG00000172554
ELF2 ENSG00000109381
TUBA3C ENSG00000198033
COG3 ENSG00000136152
NCAPD3 ENSG00000151503
MME ENSG00000196549
KRSP1 ENSG00000197588
PGC ENSG00000096088
ZNF761 ENSG00000250731
CR745374 ENSG00000248597
TIMP3 ENSG00000100234
ANKRD37 ENSG00000186352
TBXAS1 ENSG00000059377
FIG4 ENSG00000112367
LAMP3 ENSG00000078081
STEAP4 ENSG00000127954
RNASE12 ENSG00000206171
SLC2A5 ENSG00000142583
PHF19 ENSG00000119403
MYOF ENSG00000138119
SEC22C ENSG00000093183
CCDC53 ENSG00000120860
ACSL3 ENSG00000123983
ATG4B ENSG00000168397
TESC ENSG00000088992
HYDIN ENSG00000234295
PPP2CB ENSG00000104695
DNAJB9 ENSG00000128590
BCL7C ENSG00000099385
EFNA1 ENSG00000169242
PHACTR3 ENSG00000087495
C19orf10 ENSG00000074842
ELMO1 ENSG00000155849
ACAD8 ENSG00000151498
MMP28 ENSG00000129270
PSMB4 ENSG00000159377
ATP1A1 ENSG00000163399
CRELD2 ENSG00000184164
SEC14L5 ENSG00000103184
AQP3 ENSG00000165272
SLC44A3 ENSG00000143036
RFPL3 ENSG00000128276
GNMT ENSG00000124713
SCRG1 ENSG00000164106
AMACR ENSG00000082196
KCNMA1 ENSG00000156113
SERPINA5 ENSG00000188488
SAT1 ENSG00000130066
FKBP5 ENSG00000096060
CECR6 ENSG00000183307
ALDH1A3 ENSG00000184254
YIPF1 ENSG00000058799
THYN1 ENSG00000151500
CRYAB ENSG00000109846
MPZL1 ENSG00000197965
PTPRM ENSG00000173482
SOCS2 ENSG00000120833
GOT1 ENSG00000120053
CAMP ENSG00000164047
GRAMD2 ENSG00000175318
ADH1C ENSG00000248144
C3orf14 ENSG00000114405
TBX15 ENSG00000092607
RAD54B ENSG00000197275
NSDHL ENSG00000147383
CST3 ENSG00000101439
BIRC5 ENSG00000089685
SNX25 ENSG00000109762
FAM189A2 ENSG00000135063
MB ENSG00000198125
DNAJC10 ENSG00000077232
BRP44 ENSG00000143158
GRHL1 ENSG00000134317
NUCB2 ENSG00000070081
ADARB1 ENSG00000197381
C16orf61 ENSG00000103121
ABCC4 ENSG00000125257
UGT2B11 ENSG00000213759
FADS1 ENSG00000149485
CENPN ENSG00000166451
SLC27A3 ENSG00000143554
ALDOA ENSG00000149925
TMEM125 ENSG00000179178
CHST1 ENSG00000175264
WWC1 ENSG00000113645
CYP4F12 ENSG00000186204
LRRFIP2 ENSG00000093167
SAR1B ENSG00000152700
GFPT1 ENSG00000198380
DNAJB11 ENSG00000090520
VGF ENSG00000128564
HSPC159 ENSG00000119862
SLC26A3 ENSG00000091138
KRT8 ENSG00000250539
COQ10B ENSG00000115520
AFF3 ENSG00000144218
MLH1 ENSG00000076242
MICAL1 ENSG00000135596
IQCK ENSG00000174628
AGR2 ENSG00000106541
GLB1L3 ENSG00000166105
ZDHHC9 ENSG00000188706
BHLHE40 ENSG00000134107
DISP2 ENSG00000140323
ZDHHC8P ENSG00000133519
SMS ENSG00000213080
LGMN ENSG00000100600
AP1B1 ENSG00000100280
TSC22D1 ENSG00000102804
TSPYL2 ENSG00000184205
AP3S1 ENSG00000177879
C1orf122 ENSG00000197982
SLC25A25 ENSG00000148339
C6orf185 ENSG00000203799
C11orf54 ENSG00000182919
MARCH2 ENSG00000099785
PEX10 ENSG00000157911
SLC26A2 ENSG00000155850
TSC2 ENSG00000103197
POLE2 ENSG00000100479
CXADR ENSG00000154639
SLC9A3R1 ENSG00000109062
IL10RB ENSG00000243646
CDK14 ENSG00000157224
MFSD6 ENSG00000151690
C1orf87 ENSG00000162598
MIDN ENSG00000167470
HIPK2 ENSG00000064393
GLRX2 ENSG00000023572
APIP ENSG00000149089
STYK1 ENSG00000060140
FZD9 ENSG00000188763
ARHGEF37 ENSG00000183111
CREB3L2 ENSG00000182158
RFPL2 ENSG00000128253
ENTPD2 ENSG00000054179
STK39 ENSG00000198648
SPCS2 ENSG00000118363
CHST2 ENSG00000175040
BCL2L1 ENSG00000171552
KRT19 ENSG00000171345
MEAF6 ENSG00000163875
BCCIP ENSG00000107949
CCDC15 ENSG00000149548
GGTLC2 ENSG00000230712
KDELR2 ENSG00000136240
FAM107A ENSG00000168309
SMS ENSG00000102172
STT3A ENSG00000134910
COX17 ENSG00000138495
SLC4A7 ENSG00000033867
SEC61G ENSG00000132432
CYP4F11 ENSG00000171903
OCEL1 ENSG00000099330
DPP3 ENSG00000254986
NAGK ENSG00000124357
POM121L8P ENSG00000197210
SPCS2 ENSG00000228589
HIST1H2BD ENSG00000158373
SPOCK1 ENSG00000152377
LSS ENSG00000160285
NOSTRIN ENSG00000163072
LYZ ENSG00000090382
GGTLC2 ENSG00000100121
ALOX5 ENSG00000012779
ITGA11 ENSG00000137809
ZNF702 ENSG00000242779
MORN2 ENSG00000188010
HES2 ENSG00000069812
ZBTB7B ENSG00000160685
AK092218 ENSG00000072849
DERL2 ENSG00000072849
NDUFAF4 ENSG00000123545
FAM177A1 ENSG00000151327
JPH1 ENSG00000104369
HSP90B1 ENSG00000166598
GALK2 ENSG00000156958
C20orf196 ENSG00000171984
ENO1 ENSG00000074800
SSR3 ENSG00000114850
ABHD6 ENSG00000163686
CCDC57 ENSG00000176155
EAF2 ENSG00000145088
CDKN2B ENSG00000147883
SLC9A2 ENSG00000115616
SHC1 ENSG00000230889
C1orf112 ENSG00000000460
C1orf151 ENSG00000158747
DPH3 ENSG00000154813
GORASP1 ENSG00000114745
INSIG1 ENSG00000186480
NDFIP2 ENSG00000102471
ANGPTL3 ENSG00000132855
ATG4A ENSG00000101844
ELOF1 ENSG00000130165
ATP6V0A2 ENSG00000185344
UGT2B4 ENSG00000156096
UGT2B28 ENSG00000135226
TMEM39A ENSG00000176142
SH3BP4 ENSG00000130147
SELO ENSG00000073169
RGMB ENSG00000174136
HS1BP3 ENSG00000118960
GATSL3 ENSG00000248751
DPP3 ENSG00000256349
DNASE2B ENSG00000137976
CR614803 ENSG00000235609
LRIG1 ENSG00000144749
TNKS1BP1 ENSG00000149115
UBE2G1 ENSG00000132388
IDH3A ENSG00000166411
C1orf183 ENSG00000197852
PGM3 ENSG00000013375
THAP4 ENSG00000176946
TSPAN13 ENSG00000106537
PRH1-PRR4 ENSG00000111215
KLK3 ENSG00000142515
ENTPD7 ENSG00000198018
C17orf106-CDK3 ENSG00000108504
IL20RA ENSG00000016402
ARRDC1 ENSG00000197070
TMED10 ENSG00000170348
SH3RF2 ENSG00000156463
SMAP1 ENSG00000112305
ADRB1 ENSG00000043591
RHBDD2 ENSG00000005486
VMP1 ENSG00000062716
WHAMM ENSG00000156232
SELS ENSG00000131871
HS6ST1 ENSG00000136720
UBQLN1 ENSG00000135018
IMPAD1 ENSG00000104331
LOC729852 ENSG00000219545
TRIM5 ENSG00000132256
STARD13 ENSG00000133121
ATP6V0E1 ENSG00000113732
TMEM87B ENSG00000153214
CITED1 ENSG00000125931
CLDN7 ENSG00000181885
BG184208 ENSG00000250027
CGGBP1 ENSG00000163320
XPR1 ENSG00000143324
ST6GALNAC1 ENSG00000070526
COX10 ENSG00000006695
RPN1 ENSG00000163902
SLC1A4 ENSG00000115902
WDR37 ENSG00000047056
LOC220115 ENSG00000198384
MUC20 ENSG00000176945
LARS2 ENSG00000011376
RRS1 ENSG00000147576
ADHFE1 ENSG00000147576
CSRNP1 ENSG00000144655
VIPR1 ENSG00000114812
PITPNA ENSG00000174238
CALU ENSG00000128595
LRRC16A ENSG00000079691
AKIRIN1 ENSG00000174574
HGD ENSG00000113924
MYBPC1 ENSG00000196091
TEKT4P2 ENSG00000215615
ESRRA ENSG00000173153
FYN ENSG00000010810
SPG20 ENSG00000133104
PPP1R3F ENSG00000049769
CTSL1 ENSG00000135047
LAMA1 ENSG00000101680
SNAP91 ENSG00000065609
PIR ENSG00000087842
C5orf32 ENSG00000120306
SLC1A5 ENSG00000105281
ACVR1 ENSG00000115170
MAF ENSG00000178573
SETD3 ENSG00000183576
RALY ENSG00000125970
C17orf79 ENSG00000172301
TACC2 ENSG00000138162
SERP1 ENSG00000120742
SC4MOL ENSG00000250229
RBM18 ENSG00000119446
LRRC8A ENSG00000136802
TCEAL3 ENSG00000196507
SLC25A40 ENSG00000075303
C16orf57 ENSG00000103005
FAM3C ENSG00000196937
GCC2 ENSG00000135968
ASCC1 ENSG00000138303
CALM1 ENSG00000198668
GREB1 ENSG00000196208
SNAI2 ENSG00000019549
ASRGL1 ENSG00000162174
ACOX1 ENSG00000161533
ATG16L1 ENSG00000085978
RHAG ENSG00000112077
BCL2L2 ENSG00000129473
CYP2J2 ENSG00000134716
PLEKHF1 ENSG00000166289
TMEM55A ENSG00000155099
HOXB13 ENSG00000159184
OSTM1 ENSG00000081087
NAT1 ENSG00000171428
ST3GAL4 ENSG00000110080
MBOAT2 ENSG00000143797
RALGDS ENSG00000160271
PIGC ENSG00000135845
GOSR2 ENSG00000108433
FOXA1 ENSG00000129514
SV2B ENSG00000185518
SLC9A8 ENSG00000197818
STK32B ENSG00000152953
TEX2 ENSG00000136478
PVRL2 ENSG00000240787
MALL ENSG00000144063
ELOVL2 ENSG00000197977
CHRM1 ENSG00000168539
ZC3HAV1 ENSG00000105939
PDE6A ENSG00000132915
DNAJC3 ENSG00000102580
KREMEN2 ENSG00000131650
ATP2A2 ENSG00000174437
CYP2U1 ENSG00000155016
CDC14B ENSG00000081377
PDPK1 ENSG00000205918
SLC38A10 ENSG00000157637
TLN2 ENSG00000171914
ANXA5 ENSG00000164111
COPB2 ENSG00000184432
EPSTI1 ENSG00000133106
GCNT1 ENSG00000187210
APLN ENSG00000171388
TMCC3 ENSG00000057704
PFKFB2 ENSG00000123836
WDYHV1 ENSG00000156795
LARGE ENSG00000133424
ITPKB ENSG00000143772
RAB2A ENSG00000104388
CHKA ENSG00000110721
SEPHS2 ENSG00000179918
MID1IP1 ENSG00000165175
GSPT1 ENSG00000103342
GNL3 ENSG00000163938
EIF2AK3 ENSG00000172071
SH3GLB1 ENSG00000097033
MIS12 ENSG00000167842
LY6H ENSG00000176956
SPCS3 ENSG00000129128
RUNDC1 ENSG00000198863
PAQR4 ENSG00000162073
PARM1 ENSG00000169116
FAM129A ENSG00000135842
MAPK1 ENSG00000100030
CBX4 ENSG00000141582
CCNYL1 ENSG00000163249
ARPC4 ENSG00000250151
PRR15L ENSG00000167183
ENG ENSG00000106991
GPR56 ENSG00000205336
GOLPH3L ENSG00000143457
FAM58A ENSG00000147382
HLA-H ENSG00000227669
EIF2B2 ENSG00000119718
C18orf1 ENSG00000168675
FAM104B ENSG00000182518
ADRB2 ENSG00000169252
ZDHHC6 ENSG00000023041
ARNTL ENSG00000133794
ADRA2A ENSG00000150594
TMEM50B ENSG00000142188
AHNAK ENSG00000124942
ELMOD2 ENSG00000179387
ARF1 ENSG00000143761
RCAN2 ENSG00000172348
ABCB8 ENSG00000197150
UGT2B7 ENSG00000248635
AIFM1 ENSG00000156709
CTBS ENSG00000117151
PLAGL1 ENSG00000118495
TMEM192 ENSG00000170088
SERPINA7 ENSG00000123561
NUS1 ENSG00000234685
HSPA13 ENSG00000155304
BCAR3 ENSG00000137936
LRRC1 ENSG00000137269
GPRC5D ENSG00000111291
FAM196A ENSG00000188916
C7orf53 ENSG00000181016
PHGR1 ENSG00000233041
DNAJC25 ENSG00000059769
HCCS ENSG00000004961
GCAT ENSG00000100116
IL17RA ENSG00000177663
SLC41A2 ENSG00000136052
DNAJB6 ENSG00000105993
SLC31A2 ENSG00000136867
ARHGAP28 ENSG00000088756
SEC31A ENSG00000138674
ZCCHC6 ENSG00000083223
MCFD2 ENSG00000180398
ERG ENSG00000157554
C14orf43 ENSG00000156030
SLC22A3 ENSG00000146477
SLC22A5 ENSG00000197375
HOXA11 ENSG00000005073
ANKMY2 ENSG00000106524
SGPL1 ENSG00000166224
SMPDL3A ENSG00000172594
CYP20A1 ENSG00000119004
MYST4 ENSG00000156650
THAP7 ENSG00000184436
KCNK1 ENSG00000135750
TBC1D10A ENSG00000099992
MAP4K2 ENSG00000168067
RAB27A ENSG00000069974
C9orf116 ENSG00000160345
ARFGAP3 ENSG00000242247
GOLGA7B ENSG00000155265
MUSK ENSG00000030304
CYP1B1 ENSG00000138061
MLL3 ENSG00000055609
ATP1B1 ENSG00000143153
TNFRSF10A ENSG00000104689
SPOP ENSG00000121067
AKR1B1 ENSG00000085662
SERF1B ENSG00000205572
CIB4 ENSG00000157884
PLEKHA7 ENSG00000166689
FRAT2 ENSG00000181274
SLC22A4 ENSG00000197208
NFX1 ENSG00000086102
ZNF622 ENSG00000173545
AQP11 ENSG00000178301
ADAMTS9 ENSG00000163638
TTC13 ENSG00000143643
TMED2 ENSG00000086598
C9orf72 ENSG00000147894
AK128346 ENSG00000242086
COL8A1 ENSG00000144810
LPCAT3 ENSG00000111684
CHCHD4 ENSG00000163528
IGFBP1 ENSG00000146678
LUZP1 ENSG00000169641
MGST2 ENSG00000085871
ASAP3 ENSG00000088280
C4orf34 ENSG00000163683
PDE12 ENSG00000174840
MTFP1 ENSG00000242114
CRY1 ENSG00000008405
NAGLU ENSG00000108784
MTCH1 ENSG00000137409
NEBL ENSG00000078114
FRMD3 ENSG00000172159
SRP54 ENSG00000100883
MRPL17 ENSG00000158042
SULT1C2 ENSG00000198203
BVES ENSG00000112276
CRNKL1 ENSG00000101343
PPP1R3D ENSG00000132825
LACTB ENSG00000103642
VPS33B ENSG00000184056
NHP2L1 ENSG00000100138
CHIA ENSG00000134216
LOX ENSG00000113083
FAM84A ENSG00000162981
LDHA ENSG00000134333
INO80C ENSG00000153391
PDE8B ENSG00000113231
SNRPN ENSG00000128739
FA2H ENSG00000103089
NRARP ENSG00000198435
SYAP1 ENSG00000169895
RRAS2 ENSG00000133818
SPINK13 ENSG00000214510
ISG20L2 ENSG00000220748
PPP1R7 ENSG00000115685
UVRAG ENSG00000198382
EDEM1 ENSG00000134109
PDZRN3 ENSG00000121440
BTLA ENSG00000186265
PREP ENSG00000085377
CDK2AP2 ENSG00000167797
ChGn ENSG00000147408
C2orf29 ENSG00000158435
FOS ENSG00000170345
FAM86B1 ENSG00000145002
CSMD2 ENSG00000121904
CPEB2 ENSG00000137449
ABAT ENSG00000183044
C2orf68 ENSG00000168887
CCND1 ENSG00000110092
ROR1 ENSG00000185483
CR594506 ENSG00000185483
HIF1A ENSG00000100644
MORF4L2 ENSG00000123562
LOC439994 ENSG00000224428
RBM28 ENSG00000106344
SLC35E1 ENSG00000127526
WNK3 ENSG00000196632
MESP1 ENSG00000166823
RPS19BP1 ENSG00000187051
MPZL2 ENSG00000149573
NCEH1 ENSG00000144959
AIMP2 ENSG00000106305
LMAN1 ENSG00000074695
HOXA10 ENSG00000253293
HOXA10-HOXA9 ENSG00000253293
KCNG1 ENSG00000026559
PDCL3 ENSG00000115539
TRPM8 ENSG00000144481
TG ENSG00000042832
FKBP14 ENSG00000106080
C3orf62 ENSG00000188315
TMEM129 ENSG00000168936
PDCD4 ENSG00000150593
FMO5 ENSG00000131781
FZD4 ENSG00000174804
MRFAP1L1 ENSG00000178988
F2RL1 ENSG00000164251
RNF181 ENSG00000168894
TRIB2 ENSG00000071575
EDEM3 ENSG00000116406
LCTL ENSG00000188501
GMPR ENSG00000137198
PARG ENSG00000227345
LOC728407 ENSG00000227345
MYL12B ENSG00000118680
MTL5 ENSG00000132749
RHOT1 ENSG00000126858
PRPF19 ENSG00000110107
SS18 ENSG00000141380
ASGR2 ENSG00000161944
SORT1 ENSG00000134243
VCL ENSG00000035403
ZNF765 ENSG00000196417
COMT ENSG00000093010
YRDC ENSG00000196449
DIRC2 ENSG00000138463
GTPBP2 ENSG00000172432
SLC16A6 ENSG00000108932
ATP7B ENSG00000123191
G6PC ENSG00000131482
TRIM61 ENSG00000248632
ATP2C2 ENSG00000064270
IRF2BP2 ENSG00000168264
TRAK1 ENSG00000182606
CEACAM1 ENSG00000079385
HMOX1 ENSG00000100292
C12orf65 ENSG00000130921
ANAPC5 ENSG00000089053
MAPKAPK2 ENSG00000162889
GREM1 ENSG00000166923
FAM174B ENSG00000185442
NUP98 ENSG00000110713
DIO1 ENSG00000211452
PHYHIPL ENSG00000165443
CHST7 ENSG00000147119
LRP11 ENSG00000120256
FAM153A ENSG00000182230
TAF1B ENSG00000115750
GNA12 ENSG00000146535
KCTD3 ENSG00000136636
INTS6 ENSG00000102786
FBXO7 ENSG00000100225
CSNK1A1 ENSG00000113712
PPAP2A ENSG00000067113
TTC12 ENSG00000149292
