SymbolReannotated EnsemblReannotated
SLC2A3 ENSG00000059804
ORM2 ENSG00000228278
PREP ENSG00000085377
C6orf81 ENSG00000157343
NACC2 ENSG00000148411
MAN2B2 ENSG00000013288
AGR2 ENSG00000106541
PEX2 ENSG00000164751
WIPI1 ENSG00000070540
ATG4B ENSG00000168397
CLK3 ENSG00000179335
ZNF541 ENSG00000118156
CST4 ENSG00000101441
WDR37 ENSG00000047056
SLC26A3 ENSG00000091138
PRKCH ENSG00000027075
CCDC57 ENSG00000176155
TUBA3E ENSG00000152086
SLC4A7 ENSG00000033867
AK128346 ENSG00000242086
THOC5 ENSG00000100296
AFMID ENSG00000183077
GLB1L2 ENSG00000149328
CST1 ENSG00000170373
PYGB ENSG00000100994
PLP1 ENSG00000123560
TUBA3D ENSG00000075886
PGC ENSG00000096088
BG184208 ENSG00000250027
THYN1 ENSG00000151500
CRISP2 ENSG00000124490
NCAPD3 ENSG00000151503
B3GAT1 ENSG00000109956
AMACR ENSG00000242110
ANKRD37 ENSG00000186352
SERPINA3 ENSG00000196136
TMEM8A ENSG00000129925
CLDN8 ENSG00000156284
ATP1A1 ENSG00000163399
STEAP4 ENSG00000127954
DBI ENSG00000155368
IL10RB ENSG00000243646
FBXW2 ENSG00000119402
CST2 ENSG00000170369
S100P ENSG00000163993
MRFAP1 ENSG00000179010
DHCR7 ENSG00000172893
ORM1 ENSG00000229314
FKBP5 ENSG00000096060
KRSP1 ENSG00000197588
ALG8 ENSG00000159063
ACSL3 ENSG00000123983
DNAJB9 ENSG00000128590
MYOF ENSG00000138119
SLC2A5 ENSG00000142583
TBX15 ENSG00000092607
NOTCH2NL ENSG00000255168
PLA2G4E ENSG00000188089
AGR3 ENSG00000173467
PHACTR3 ENSG00000087495
TESC ENSG00000088992
OSGIN1 ENSG00000140961
ACAD8 ENSG00000151498
DDIT4 ENSG00000168209
RBM20 ENSG00000203867
THAP4 ENSG00000176946
AMACR ENSG00000082196
CAMP ENSG00000164047
MME ENSG00000196549
GNMT ENSG00000124713
ADARB2 ENSG00000185736
TUBA3C ENSG00000198033
CKB ENSG00000166165
CRELD2 ENSG00000184164
CECR6 ENSG00000183307
SNX25 ENSG00000109762
KCNMA1 ENSG00000156113
AP1G2 ENSG00000213983
ABHD12 ENSG00000100997
SCRG1 ENSG00000164106
SAT1 ENSG00000130066
BIRC5 ENSG00000089685
EAF2 ENSG00000145088
SOCS2 ENSG00000120833
YIPF1 ENSG00000058799
AZGP1 ENSG00000160862
ADH1C ENSG00000248144
TGM2 ENSG00000198959
C1orf87 ENSG00000162598
PTPRM ENSG00000173482
ZNF761 ENSG00000250731
CST3 ENSG00000101439
C3orf14 ENSG00000114405
NSDHL ENSG00000147383
DNAJC10 ENSG00000077232
ANX2P2 ENSG00000182718
ANXA2 ENSG00000182718
SLC27A3 ENSG00000143554
GIPC1 ENSG00000123159
TRAF3IP2 ENSG00000056972
ABCC4 ENSG00000125257
SDHAP2 ENSG00000215837
HES1 ENSG00000114315
BHLHE40 ENSG00000134107
LRRFIP2 ENSG00000093167
RFESD ENSG00000175449
FADS1 ENSG00000149485
CENPN ENSG00000166451
DISP2 ENSG00000140323
NUCB2 ENSG00000070081
EMP1 ENSG00000134531
C17orf62 ENSG00000178927
SLC25A25 ENSG00000148339
TBXAS1 ENSG00000059377
PGM3 ENSG00000013375
MLH1 ENSG00000076242
SMOC2 ENSG00000112562
COQ10B ENSG00000115520
NAT1 ENSG00000171428
CYP4F12 ENSG00000186204
LIMS1 ENSG00000169756
UST ENSG00000111962
TMED5 ENSG00000117500
MICAL1 ENSG00000135596
FIG4 ENSG00000112367
SMS ENSG00000213080
GLB1L3 ENSG00000166105
IRX4 ENSG00000113430
CYB5A ENSG00000166347
AFF3 ENSG00000144218
TSC22D1 ENSG00000102804
C11orf54 ENSG00000182919
ALDH1A3 ENSG00000184254
ZDHHC8P ENSG00000133519
ATP2B4 ENSG00000058668
SEC14L5 ENSG00000103184
KRT8 ENSG00000250539
CCDC53 ENSG00000120860
GFPT1 ENSG00000198380
PACAP ENSG00000170476
MAP7D1 ENSG00000116871
IDH1 ENSG00000138413
SLC9A3R1 ENSG00000109062
PNLIP ENSG00000175535
MPZL1 ENSG00000197965
AP1B1 ENSG00000100280
GLRX2 ENSG00000023572
UGT2B11 ENSG00000213759
COG3 ENSG00000136152
STK39 ENSG00000198648
STYK1 ENSG00000060140
RAB11FIP1 ENSG00000156675
MUM1L1 ENSG00000157502
TSC2 ENSG00000103197
HIPK2 ENSG00000064393
FZD9 ENSG00000188763
SPCS2 ENSG00000118363
HSPC159 ENSG00000119862
CXADR ENSG00000154639
BCCIP ENSG00000107949
TRIM49L1 ENSG00000233802
LRRC16A ENSG00000079691
GGT1 ENSG00000236969
ST6GALNAC1 ENSG00000070526
C16orf61 ENSG00000103121
SMS ENSG00000102172
KCNG1 ENSG00000026559
TMCC3 ENSG00000057704
KRT19 ENSG00000171345
RHOBTB2 ENSG00000008853
FAM107A ENSG00000168309
C15orf52 ENSG00000188549
CDO1 ENSG00000129596
SPOCK1 ENSG00000152377
C22orf42 ENSG00000205856
SPCS2 ENSG00000228589
NOSTRIN ENSG00000163072
COX17 ENSG00000138495
ALG14 ENSG00000172339
TOB1 ENSG00000141232
SEC61A1 ENSG00000058262
PPP2CB ENSG00000104695
POM121L8P ENSG00000197210
TSPYL2 ENSG00000184205
WWC1 ENSG00000113645
LYZ ENSG00000090382
LGMN ENSG00000100600
ZNF702 ENSG00000242779
C5orf32 ENSG00000120306
MORN2 ENSG00000188010
CSRNP1 ENSG00000144655
STARD13 ENSG00000133121
KRT8 ENSG00000170421
ATP2A2 ENSG00000174437
SLC35F2 ENSG00000110660
NDUFAF4 ENSG00000123545
FAM177A1 ENSG00000151327
HSP90B1 ENSG00000166598
IRF7 ENSG00000185507
WIBG ENSG00000170473
CNO ENSG00000186222
LOC728723 ENSG00000250802
HIST1H2BD ENSG00000158373
BACH2 ENSG00000112182
CDKN2B ENSG00000147883
SHC1 ENSG00000230889
SFXN5 ENSG00000144040
ELOVL5 ENSG00000012660
C20orf196 ENSG00000171984
NDFIP2 ENSG00000102471
CA5B ENSG00000169239
MAGEH1 ENSG00000187601
HS1BP3 ENSG00000118960
GOT1 ENSG00000120053
ABHD6 ENSG00000163686
C1orf151 ENSG00000158747
PASK ENSG00000115687
MMP28 ENSG00000129270
TICAM2 ENSG00000251201
LRIG1 ENSG00000144749
TMEM39A ENSG00000176142
CR614803 ENSG00000235609
ATP6V0D1 ENSG00000159720
SERPINA5 ENSG00000188488
SELS ENSG00000131871
PRH1-PRR4 ENSG00000111215
DAP ENSG00000112977
DPP3 ENSG00000254986
ANGPTL3 ENSG00000132855
HES2 ENSG00000069812
TMED10 ENSG00000170348
SLC38A10 ENSG00000157637
IL20RA ENSG00000016402
UGT2B4 ENSG00000156096
SLC9A2 ENSG00000115616
DAD1 ENSG00000129562
ENTPD7 ENSG00000198018
ZDHHC9 ENSG00000188706
KCNH2 ENSG00000055118
NUP50 ENSG00000259010
BRP44 ENSG00000143158
ITGA11 ENSG00000137809
GATSL3 ENSG00000248751
SMARCA1 ENSG00000102038
PHF19 ENSG00000119403
NDEL1 ENSG00000166579
SLC41A1 ENSG00000133065
UBE2G1 ENSG00000132388
SMAP1 ENSG00000112305
ADH1A ENSG00000187758
TRIM5 ENSG00000132256
ADRB1 ENSG00000043591
C1orf183 ENSG00000197852
TSPAN13 ENSG00000106537
RHAG ENSG00000112077
