SymbolReannotated EnsemblReannotated
DHCR7 ENSG00000172893
ALG8 ENSG00000159063
SNTG2 ENSG00000172554
CHST1 ENSG00000175264
RFESD ENSG00000175449
ORM2 ENSG00000228278
TUBA3E ENSG00000152086
ZNF761 ENSG00000250731
TRIM49L1 ENSG00000233802
TSPYL2 ENSG00000184205
ZDHHC9 ENSG00000188706
ANKMY2 ENSG00000106524
C6orf185 ENSG00000203799
BACH2 ENSG00000112182
SNTB2 ENSG00000168807
FAM58A ENSG00000147382
DNASE2B ENSG00000137976
ASCC1 ENSG00000138303
DBI ENSG00000155368
TRAK1 ENSG00000182606
ARHGEF37 ENSG00000183111
ADSS ENSG00000035687
AP3S1 ENSG00000177879
RNASE12 ENSG00000206171
S100P ENSG00000163993
THAP4 ENSG00000176946
CITED1 ENSG00000125931
CCDC15 ENSG00000149548
RGMB ENSG00000174136
LSS ENSG00000160285
ORM1 ENSG00000229314
TRAF3IP2 ENSG00000056972
C8orf42 ENSG00000180190
CST2 ENSG00000170369
SEMA6A ENSG00000092421
JPH1 ENSG00000104369
ADARB1 ENSG00000197381
LARGE ENSG00000133424
TESC ENSG00000088992
SPINK13 ENSG00000214510
COG3 ENSG00000136152
BCL2L1 ENSG00000171552
OCEL1 ENSG00000099330
VGF ENSG00000128564
SLC9A2 ENSG00000115616
GOT1 ENSG00000120053
ORC1 ENSG00000085840
PER2 ENSG00000132326
CST1 ENSG00000170373
GPR37 ENSG00000170775
C18orf1 ENSG00000168675
CST4 ENSG00000101441
ANKRD37 ENSG00000186352
ACSL3 ENSG00000123983
SLC2A5 ENSG00000142583
WDYHV1 ENSG00000156795
KRT19 ENSG00000171345
SLC9A3R1 ENSG00000109062
NCAPD3 ENSG00000151503
GPR64 ENSG00000173698
SERPINA3 ENSG00000196136
TTC12 ENSG00000149292
MYOF ENSG00000138119
SAR1B ENSG00000152700
TAF6 ENSG00000106290
NUCB2 ENSG00000070081
DLX1 ENSG00000144355
KCNMA1 ENSG00000156113
SLC22A3 ENSG00000146477
MME ENSG00000196549
BX104191 ENSG00000253696
PTGER2 ENSG00000125384
ACAD8 ENSG00000151498
CRELD2 ENSG00000184164
SLC2A3 ENSG00000059804
CHIA ENSG00000134216
FYN ENSG00000010810
RBM20 ENSG00000203867
RFPL3 ENSG00000128276
ATP1A1 ENSG00000163399
DNAJB9 ENSG00000128590
SPSB1 ENSG00000171621
SLC25A25 ENSG00000148339
STEAP4 ENSG00000127954
C17orf62 ENSG00000178927
TNFRSF10A ENSG00000104689
GLB1L2 ENSG00000149328
LUZP1 ENSG00000169641
PLP1 ENSG00000123560
SOCS2 ENSG00000120833
APLN ENSG00000171388
C3orf14 ENSG00000114405
BCL3 ENSG00000069399
FKBP5 ENSG00000096060
ABCC4 ENSG00000125257
DNAJC10 ENSG00000077232
AMACR ENSG00000242110
SSR3 ENSG00000114850
LRRC26 ENSG00000184709
LRRFIP2 ENSG00000093167
TMEM125 ENSG00000179178
SLC4A7 ENSG00000033867
MLH1 ENSG00000076242
SLC26A3 ENSG00000091138
AGR3 ENSG00000173467
STARD13 ENSG00000133121
CRYAB ENSG00000109846
WIPI1 ENSG00000070540
ITPKB ENSG00000143772
TBC1D10A ENSG00000099992
ZFHX4 ENSG00000091656
NSDHL ENSG00000147383
PRKCD ENSG00000163932
GLRX2 ENSG00000023572
DNAJB11 ENSG00000090520
SV2B ENSG00000185518
CECR6 ENSG00000183307
CST3 ENSG00000101439
SERTAD3 ENSG00000167565
COQ10B ENSG00000115520
AGR2 ENSG00000106541
SYBU ENSG00000147642
FAM189A2 ENSG00000135063
CYP4F12 ENSG00000186204
SAT1 ENSG00000130066
SLC16A9 ENSG00000165449
AMACR ENSG00000082196
THYN1 ENSG00000151500
FADS1 ENSG00000149485
AFF3 ENSG00000144218
NEFH ENSG00000100285
C1orf122 ENSG00000197982
MAP1B ENSG00000131711
SPCS2 ENSG00000118363
GFPT1 ENSG00000198380
C1orf87 ENSG00000162598
SYP ENSG00000102003
PLAGL1 ENSG00000118495
FAM86B1 ENSG00000145002
HSPH1 ENSG00000120694
ZDHHC8P ENSG00000133519
TSC22D1 ENSG00000102804
HIPK2 ENSG00000064393
CXADR ENSG00000154639
RFPL2 ENSG00000128253
STYK1 ENSG00000060140
GGT1 ENSG00000236969
FAM107A ENSG00000168309
C16orf57 ENSG00000103005
AZGP1 ENSG00000160862
HIST2H2BE ENSG00000184678
PHGR1 ENSG00000233041
APIP ENSG00000149089
STK40 ENSG00000196182
SPOCK1 ENSG00000152377
STK39 ENSG00000198648
CYB561D2 ENSG00000114395
